Name,Short,Korean Name,Debut,Company,Members,Orig. Memb.,Fanclub Name,Active,Average_age
TWICE,,????,2015/10/20,JYP,9,9,Once,Yes,18
Two X,,???,2012/8/20,J. Tune,4,5,,No,22
Uni.T,,???,2018/5/18,Unit Culture,8,9,,No,24
Unicorn,,???,2015/9/3,Cartoon Blue,4,5,,No,22
Wable,,??,2016/2/17,Kiwi,2,2,,Yes,24
Wanna.B,,???,2014/11/17,Zenith,5,4,Ru.B,Yes,23
Wassup,,??,2013/8/7,Mafia,7,7,,No,20
We Girls,,???,2018/8/31,Afternoon,8,8,,Yes,23
Weki Meki,WeMe,????,2017/8/8,Fantagio,8,8,,Yes,18
WJSN,Cosmic Girls,????,2016/2/25,Starship,13,12,Ujung,Yes,19
Wonder Girls,WG,????,2007/2/13,JYP,4,5,Wonderful,No,16
Yellow Bee,,???,2017/11/23,Addiction,5,5,,Yes,0
