Name,Date,Likes,Views,Comments
DreamNote,2020-01-08,62190,1316541,4192
Verivery,2020-01-07,245820,16694375,12676
Red Velvet,2020-01-07,5888,53986,235
B.O.Y,2020-01-06,50224,364082,5411
Dustin,2020-01-06,13161,227287,1263
Younha,2020-01-06,52186,1790040,2442
ATEEZ,2020-01-06,1438860,88196993,155889
SF9,2020-01-05,573572,46345785,102432
M.O.N.T,2020-01-04,61629,525139,3073
MCND,2020-01-02,297975,4332816,14925
TST,2020-01-02,50445,661814,2742
DONGKIZ,2020-01-01,8483,114707,701
Momoland,2019-12-30,710346,60189374,101807
Jiyeon,2019-12-26,476435,10503326,49701
Red Velvet,2019-12-23,6391238,381943374,631114
Oneus,2019-12-17,70307,1139414,3540
Woojoo jjokkomi,2019-12-15,193291,3478952,12259
Kim Jaehwan,2019-12-13,68532,1054472,1788
BoA,2019-12-11,60665,1014607,1921
Stray Kids,2019-12-09,1469537,48271829,115100
JBJ95,2019-12-06,19775,274019,875
Park Jihoon,2019-12-04,264539,3713218,13086
U-Kwon (Block B),2019-12-03,24166,238848,1370
Hi Cutie,2019-12-02,970,26555,146
J.Y. Park,2019-11-30,709879,31204319,38580
Limitless,2019-11-28,14035,188779,781
Newkidd,2019-11-28,130137,1169827,7656
EXO,2019-11-27,4747479,166574737,1704841
AOA,2019-11-26,296288,13784225,18076
Kang Daniel,2019-11-25,263598,6512493,17489
ASTRO,2019-11-20,1150294,33770910,85009
CIX,2019-11-19,288585,8464672,14348
WJSN,2019-11-19,269224,14184689,25323
Golden Child,2019-11-18,308405,9645868,22159
IU,2019-11-18,2294645,170182348,47867
Mamamoo,2019-11-14,5230048,404699038,183022
IN2IT,2019-11-13,63120,869730,4879
Stray Kids,2019-11-13,1183996,23531966,55929
Nature,2019-11-12,20908,9413209,1350
Seven O'Clock,2019-11-12,22767,275804,1322
ATEEZ,2019-11-10,245820,6484727,10376
The Boyz,2019-11-06,96365,2805199,2752
1TEAM,2019-11-06,77713,3414465,2900
BVNDIT,2019-11-05,101886,6621205,3174
Dawn,2019-11-05,633739,7347251,23191
Hyuna,2019-11-05,1280102,27199002,39002
DONGKIZ,2019-11-05,22961,240529,1626
B.I.G,2019-11-04,87978,915597,89710
GOT7,2019-11-04,2476945,133874425,515779
VICTON,2019-11-04,54882,754236,3188
Hinapia,2019-11-03,156440,3783785,8016
Nam Woohyun,2019-11-03,17861,306263,2837
San (Hotshot),2019-11-01,1036,17630,138
OnlyOneOf,2019-11-01,161727,12759219,4730
Jessi,2019-11-01,577844,17005468,21113
N.Flying,2019-10-31,17933,432047,641
Zico,2019-10-31,62936,1256823,1966
We In The Zone,2019-10-30,4059,48287,355
GFRIEND,2019-10-30,394236,13652345,24081
Yubin,2019-10-30,48494,788902,2212
Hoody,2019-10-29,160890,7524399,4252
A.C.E,2019-10-29,598176,20192705,43013
Taeyeon,2019-10-28,858745,42033588,35500
MONSTA X,2019-10-28,1003166,47969842,82954
Brown Eyed Girls,2019-10-28,15786,426128,683
Brown Eyed Girls,2019-10-28,55305,1575080,2692
WeGirls,2019-10-27,2008,45541,253
Sunny Hill,2019-10-25,11887,420574,1051
M.O.N.T,2019-10-24,14020,151514,828
Onewe,2019-10-24,1946,27865,125
Ariaz,2019-10-23,30052,616933,3060
TVXQ!,2019-10-23,25691,1528740,1526
Winner,2019-10-23,591955,13537406,29009
DAY6,2019-10-22,720912,17431520,27180
MONSTA X,2019-10-22,453399,6444482,29355
Youngjae,2019-10-22,24949,224388,1849
Takeuchi Miyu,2019-10-22,21317,758219,2728
CIX,2019-10-22,230595,7973742,9947
NU'EST,2019-10-21,299608,13502389,18198
VAV,2019-10-21,285548,17289797,17652
TXT,2019-10-21,3884733,121946003,257772
AleXa,2019-10-20,912203,27156667,30002
Zelo,2019-10-19,11763,108684,831
BTS,2019-10-18,7160703,222096792,319114
Super Junior,2019-10-17,769933,38592804,74138
1the9,2019-10-17,100809,1383038,5065
Twice,2019-10-17,1321599,73213000,58359
MONSTA X,2019-10-16,727896,26759812,34759
Lim Kim,2019-10-15,91711,2518027,7617
N.Flying,2019-10-15,84017,2378374,4151
Lim Hyunsik,2019-10-14,79592,1725338,6965
Tiffany Young,2019-10-10,195632,3718515,10317
Jung Daehyun,2019-10-10,21667,245587,2032
Ladies' Code,2019-10-10,1417,17569,81
Stray Kids,2019-10-09,2157220,76296486,123625
ATEEZ,2019-10-08,2141361,127447666,216198
GreatGuys,2019-10-07,97379,906574,7545
AB6IX,2019-10-07,378732,14632172,15297
Super Junior,2019-10-04,704775,17265893,46942
Limesoda,2019-10-04,2939,29988,332
SuperM,2019-10-03,3803126,126193558,307783
Zico,2019-10-02,22154,731724,689
Jeong Sewoon,2019-10-02,7826,143753,295
ARGON,2019-10-01,28123,246169,1230
Chen (EXO),2019-09-30,660375,11108719,112800
Zico,2019-09-30,43711,1165557,1451
Zico,2019-09-30,91558,6365997,4568
Oneus,2019-09-30,14183,99015,537
Minty,2019-09-28,20203,978376,2710
j-hope,2019-09-27,11976601,393637240,789205
Sonamoo,2019-09-26,4598,1476462,386
PONY,2019-09-26,35410,614485,1099
Apeace,2019-09-26,1878,57305,268
TVXQ!,2019-09-24,30577,2510143,1905
Jessi,2019-09-23,930399,28094519,28346
Twice,2019-09-23,5203606,491853962,591645
KARD,2019-09-21,1007873,27244402,49745
Amber Liu,2019-09-20,139865,1108011,7202
Saturday,2019-09-19,155804,2426476,13690
Punch,2019-09-18,17385,1228251,430
Teen Teen,2019-09-18,60083,625367,3344
Dreamcatcher,2019-09-18,867655,34298372,66571
3YE,2019-09-17,308935,6047160,11411
Super Junior,2019-09-16,206406,5813491,21768
GWSN,2019-09-16,2445,45819,65
Seventeen,2019-09-16,1339821,58030136,109847
ANS,2019-09-16,81878,1821308,3263
IZ*One,2019-09-12,488555,19310811,49502
Bolbbalgan4,2019-09-11,33991,603373,709
PIERCE,2019-09-11,13106,1750826,0
"Chungha, Mommy Son",2019-09-10,29537,620494,589
Bolbbalgan4,2019-09-10,291836,17269779,6790
GIRLKIND XJR,2019-09-09,3711,50027,240
Super Junior,2019-09-09,106487,2564602,8957
MONSTA X,2019-09-09,69185,10006291,2944
