Name,Date,Likes,Views,Comments
NCT Dream,2018-12-27,651171,14030400,21196
TVXQ!,2018-12-26,185424,5103451,10320
Jiyeon,2018-12-22,45980,848640,5224
"Chic Angel, Cupid",2018-12-20,72,6279,12
BoA,2018-12-20,89035,1600493,6146
Seventeen,2018-12-20,830328,29974160,59743
Sooyoung,2018-12-20,37489,469089,4494
Sori,2018-12-20,37669,1405137,2527
WINNER,2018-12-19,926609,49080690,51540
Eyedi,2018-12-16,29511,658946,1135
Berry Good,2018-12-16,4291,86495,651
GOT7,2018-12-16,686700,25023677,42637
Heize,2018-12-14,148038,11965537,4125
EXO,2018-12-13,8900022,593666749,1201338
Twice,2018-12-12,1072158,45714917,78872
Ladies Code,2018-12-11,13763,153837,1448
Golden Child,2018-12-11,8968,100960,782
Oh My Girl,2018-12-11,35998,2075694,1407
Lee Changsub,2018-12-11,85316,1738511,6349
100%,2018-12-10,6492,103554,517
DAY6,2018-12-10,474076,15068873,27244
VAV,2018-12-06,59410,4653943,4309
UP10TION,2018-12-06,150507,3495036,7232
Onew,2018-12-05,235186,3799750,20917
GOT7,2018-12-03,1174380,44499611,118038
Daehyun,2018-12-01,36036,442770,2889
Minzy,2018-11-30,61665,905236,4561
Red Velvet,2018-11-30,1951939,76844194,140042
The Boyz,2018-11-30,659480,32849538,29389
Mamamoo,2018-11-29,830344,56944800,29449
Yubin,2018-11-27,151365,4045702,7907
MINO,2018-11-26,955536,57026007,55076
NU'EST W,2018-11-26,233523,6662260,20270
Lovelyz,2018-11-26,59308,2392284,3262
Key,2018-11-26,304097,8749419,15495
BM (KARD),2018-11-23,49597,417952,2561
Elkie (CLC),2018-11-23,44201,599285,3275
NCT 127,2018-11-22,1972852,85560186,110374
Sam Kim,2018-11-22,193467,13009255,4063
Nature,2018-11-21,35231,3918270,2020
EXID,2018-11-21,1405809,76197987,63306
Dongkiz,2018-11-20,25374,297459,1454
Highlight,2018-11-20,212304,7594267,12084
VOISPER,2018-11-19,7445,113831,439
Wanna One,2018-11-19,1235576,41534086,145465
Aqua,2018-11-16,12265,236051,1057
THE MAN BLK,2018-11-15,1708,59686,205
Hotshot,2018-11-14,63748,748252,4082
Dreamcatcher,2018-11-14,27957,568494,1513
Stray Kids,2018-11-14,1742431,72747557,58259
Hyoyeon,2018-11-13,255069,5929976,10795
Taemin,2018-11-12,279624,7487410,16030
D-CRUNCH,2018-11-12,87331,1310835,5447
BtoB,2018-11-12,377922,16787122,21817
Jennie,2018-11-12,14761393,984714127,3193682
P.O,2018-11-11,31336,631063,1716
Seventeen,2018-11-09,574338,22073392,17587
H.U.B,2018-11-08,122776,2014253,7167
DreamNote,2018-11-07,44336,894535,3008
Key,2018-11-06,246723,3905827,15401
A Train To Autumn,2018-11-05,3642,66536,343
Twice,2018-11-05,4155799,398704263,497952
Fallanc,2018-11-04,2697,29042,799
Spectrum,2018-11-04,42444,443345,1771
Exo,2018-11-02,4825775,234054790,1088374
Dreamcatcher,2018-11-02,74272,1862008,2450
TST,2018-11-01,40179,562196,2623
Black6ix,2018-10-30,5909,39400,596
JBJ95,2018-10-30,118972,2270078,5722
Pierce,2018-10-29,12096,1134239,2314
IZ*ONE,2018-10-29,2063622,186690887,215688
HeyGirls,2018-10-29,3306,55330,311
Abry,2018-10-27,498,16321,43
N.Flying,2018-10-26,11410,168726,688
ATEEZ,2018-10-24,711046,25943745,38741
Golden Child,2018-10-24,48566,935272,2816
BoA,2018-10-24,284009,7398663,11146
MONSTA X,2018-10-22,1360782,73250923,105987
Stray Kids,2018-10-22,1366470,51386750,94658
Shafla,2018-10-17,15471,246038,1307
Blue Fox,2018-10-16,19710,265594,4063
APRIL,2018-10-16,60795,3002775,4547
iKON,2018-10-16,169524,1383648,4368
Weki Meki,2018-10-11,405505,15312481,16547
VAV,2018-10-11,902632,40021536,55863
NCT 127,2018-10-11,968201,22896917,38224
fromis_9,2018-10-10,445768,28296734,22448
Boys Republic,2018-10-10,7187,58308,1107
Vibe,2018-10-10,884,123600,119
Rose Finger,2018-10-08,1222,49651,111
Snuper,2018-10-08,15691,196849,1431
Super Junior,2018-10-08,1890956,97909438,197630
Seven O'clock,2018-10-08,28896,431058,1409
Seven O'clock,2018-10-08,92480,1556821,4169
NCT 127,2018-10-08,1840273,88345600,105712
S.O.U.L,2018-10-02,436266,9461147,16154
iKON,2018-10-01,1491966,69195644,122040
NU'EST W,2018-10-01,114606,1265277,6862
Noir,2018-10-01,147055,2476254,7487
Super Junior,2018-09-30,198441,4616065,21107
Destiny,2018-09-29,4942,645544,478
"Onewe, Oneus",2018-09-27,91282,1456828,2474
Verivery,2018-09-21,22482,235215,1870
Eyedi,2018-09-20,2711,89557,121
Dreamcatcher,2018-09-20,309248,10596965,22181
S.I.S,2018-09-20,20428,441359,1543
WJSN,2018-09-19,280311,17524284,20961
UNI.T,2018-09-18,110878,4750463,10262
DAY6,2018-09-18,101292,2180803,5250
Purple,2018-09-18,4487,104265,231
GOT7,2018-09-17,2393114,131681839,330720
PLT,2018-09-16,85592,2036350,3966
UNI.T,2018-09-15,32308,618190,2758
VIXX,2018-09-14,11911,134191,486
SHINee,2018-09-10,785859,20066646,43962
Pentagon,2018-09-10,162793,2371636,9646
Oh My Girl,2018-09-10,33241,1484527,2200
Berry Good,2018-09-09,10021,259651,2600
Day6,2018-09-09,253496,4518249,13831
SG Wannabe,2018-09-06,1107,118754,78
GWSN,2018-09-05,75434,18565560,5271
Girls' Generation-Oh!GG,2018-09-05,2872039,165589836,297840
The Boyz,2018-09-05,221127,14848111,8818
Spectrum,2018-09-05,18804,163717,1340
Kitten Girls,2018-09-05,10432,118751,1353
Blanc7,2018-09-03,87676,576653,18704
100%,2018-09-03,9503,98097,902
GreatGuys,2018-09-03,39242,414941,2543
Drug Restaurant,2018-08-31,12151,171962,1401
NCT Dream,2018-08-30,2064396,87129586,109456
We Girls,2018-08-30,12697,333501,975
Shinhwa,2018-08-28,79056,4928330,6217
Camila,2018-08-28,12437,250255,672
Stray Kids,2018-08-27,1075123,35647024,37543
Alike,2018-08-27,4332,75386,486
BTS,2018-08-24,20724989,1260190616,3165465
LOONA,2018-08-20,644607,38713790,85197
UP10TION,2018-08-20,9695,136976,702
MXM,2018-08-20,37070,534485,1309
DIA,2018-08-20,6363,134847,357
DIA,2018-08-20,6299,121940,316
DIA,2018-08-20,6219,124269,299
Bigflo,2018-08-18,7886,64058,869
The Singing Girls,2018-08-17,513,19978,60
Berry Good,2018-08-16,47631,2516962,10497
IMFACT,2018-08-16,21531,315696,1956
Super Junior-D&E,2018-08-16,422923,17917950,26930
TWICE,2018-08-16,1284468,74721589,82692
MXM,2018-08-14,105752,1881863,3980
(G)I-DLE,2018-08-14,2244285,147844687,121039
Brave Girls,2018-08-11,256349,8963924,11863
Hoons,2018-08-10,4535,164782,206
DIA,2018-08-09,129050,6600920,15476
KARD,2018-08-08,156213,3649340,6557
LOONA,2018-08-07,423279,14584532,51723
D-Crunch,2018-08-06,79916,1052807,9711
Red Velvet,2018-08-06,2069105,124065969,163430
Stray Kids,2018-08-06,2493150,117277352,419158
UP10TION,2018-08-06,20612,379927,1194
Nature,2018-08-03,41046,2428075,1427
BtoB-Blue,2018-08-02,77801,1553910,5247
iKON,2018-08-02,3705170,229631631,267270
Riot Kidz,2018-08-02,858,16202,64
Dreamcatcher,2018-08-01,44407,959422,2144
MONSTA X,2018-08-01,428413,16463250,23337
SixBomb,2018-07-31,4066,431619,608
SF9,2018-07-31,98603,1999741,8284
Rainz,2018-07-28,8068,237030,665
Laboum,2018-07-27,30756,1216021,2198
IN2IT,2018-07-26,11441,89334,1133
100%,2018-07-26,5339,64385,527
FTISLAND,2018-07-26,22897,316340,1522
KARD,2018-07-25,449062,8947741,24647
Airisu,2018-07-25,668,12451,71
Astro,2018-07-24,640085,17778912,46366
Super Junior D&E,2018-07-23,232925,4883241,15706
ELRIS,2018-07-22,3116,73147,317
GFRIEND,2018-07-19,165961,4783265,11266
Boyfriend,2018-07-19,18822,270865,1919
Saturday,2018-07-18,51459,1401668,3683
Triple H,2018-07-18,148720,1919997,8357
FTISLAND,2018-07-17,41452,1045961,2073
Mamamoo,2018-07-16,1001072,45512948,30211
Seventeen,2018-07-16,1487533,72447764,96647
CNBLUE,2018-07-16,21935,872608,1391
Heygirls,2018-07-15,4320,85458,391
Wable,2018-07-13,936,24170,53
Mamamoo,2018-07-13,32741,791914,2812
The Boyz,2018-07-12,142602,7965647,6700
Epik High,2018-07-11,48729,1432010,1755
Gugudan Semina,2018-07-10,134925,3782942,9500
Myteen,2018-07-10,31916,1267783,2733
Twice,2018-07-09,4158322,368225440,430307
Target,2018-07-08,17054,329584,2210
Golden Child,2018-07-04,102177,2730903,9838
Favorite,2018-07-04,1129,18836,90
MeloMance,2018-07-03,39148,10827021,1387
Teen Top,2018-07-03,14247,220880,1173
Apink,2018-07-02,127147,5833432,6676
Baba,2018-07-02,4423,152449,612
Lovelyz,2018-06-30,49003,4123592,3452
Melody Day,2018-06-29,23386,611532,1278
Elris,2018-06-28,64163,2955065,4737
UNB,2018-06-28,167756,4130413,14381
GDB,2018-06-27,416,6138,34
Drunken Tiger,2018-06-27,438,4705,54
DAY6,2018-06-26,1261518,49837908,59041
Momoland,2018-06-26,2201961,250134274,232648
100%,2018-06-26,13781,262728,1126
SHINee,2018-06-25,534804,12396055,31771
NU'EST W,2018-06-25,549874,17957826,42507
My Sunset,2018-06-25,70,2950,11
ABRY,2018-06-22,975,22549,91
Red Velvet,2018-06-21,1070031,40393558,69438
Taeyeon,2018-06-18,470984,13440738,29380
BtoB,2018-06-18,273019,17210606,15054
Like A Movie,2018-06-17,1176,8491,172
DAY6,2018-06-17,178640,4429756,7738
Blackpink,2018-06-15,23585495,2151966874,3275065
Twice,2018-06-14,878119,56372863,58776
"HNB (Woo Jin-young, Kim Hyeon-soo)",2018-06-14,24687,362539,1499
Longguo,2018-06-13,8675,128089,390
DPR LIVE,2018-06-12,105741,5551798,3259
SHINee,2018-06-11,557820,16295788,27150
Busters,2018-06-11,109073,830444,20731
Girlkind,2018-06-10,20322,411164,1998
Sixth Sense,2018-06-08,111,2228,26
fromis_9,2018-06-05,196885,11148933,10065
Yubin,2018-06-05,211722,11330424,16517
Navi,2018-06-05,3825,107572,153
Wanna One,2018-06-04,826596,31534967,79841
WJMK,2018-06-01,67464,2172037,7260
Xeno-T,2018-05-31,5177,51841,448
Super Junior-D&E,2018-05-30,73922,1243492,3793
Samuel,2018-05-30,126705,1948492,6715
LOONA YYXY,2018-05-30,431976,19601008,29606
AOA,2018-05-28,423540,29124443,25148
PRISTIN V,2018-05-28,290696,9647466,10493
SHINee,2018-05-28,1144849,36136223,80723
Bolbbalgan4,2018-05-28,100768,5045175,3870
Marmello,2018-05-28,2121,42139,103
NTB,2018-05-28,22217,217782,1388
Prism,2018-05-25,1960,41045,273
24K,2018-05-25,78784,2087786,4795
Boyfriend,2018-05-25,44701,571871,5171
Bolbbalgan4,2018-05-24,58955,4260361,1920
Bolbbalgan4,2018-05-24,594800,95575973,25270
Victon,2018-05-23,28599,433892,2232
TST,2018-05-22,16749,270643,1234
Cross Gene,2018-05-21,16364,234148,1482
EXID,2018-05-21,37295,944170,2046
V.O.S,2018-05-20,4355,302454,279
BTS,2018-05-18,21322151,1250952920,4455204
UNI.T,2018-05-18,125384,4338691,9722
Girls' Alert,2018-05-18,865,37629,150
Heygirls,2018-05-17,4652,92488,469
PLT,2018-05-17,6978,83184,447
N.Flying,2018-05-16,21360,280376,1393
SEVENTEEN,2018-05-16,751367,41450643,44736
Baechigi,2018-05-16,4487,118230,160
CROSS GENE,2018-05-15,42076,648383,2731
Marmello,2018-05-10,5638,85604,338
Dreamcatcher,2018-05-10,444318,17677700,24108
Favorite,2018-05-09,5088,87501,334
Spectrum,2018-05-08,59528,735666,4060
NCT 127,2018-05-08,1252671,46205674,72750
CROSS GENE,2018-05-08,76387,2658966,5963
Teen Top,2018-05-08,44513,702886,3742
GOT7,2018-05-06,793935,21364567,64772
GFRIEND,2018-05-06,175827,7081387,13898
GBB,2018-05-02,3508,109099,416
(G)I-DLE,2018-05-02,2189430,187401549,104500
IZ,2018-05-01,91640,974981,4660
Hi Cutie,2018-05-01,7029,199775,1748
GFRIEND,2018-04-30,792228,70729329,142863
HALO,2018-04-30,86424,2191173,5698
IZ,2018-04-29,5551,49188,524
JBJ,2018-04-29,130870,1501403,11135
SHINee,2018-04-28,56802,1649586,2707
Berry Good Heart Heart,2018-04-27,54073,741261,52515
Luna,2018-04-24,40152,855426,3221
Solar,2018-04-24,58190,1582357,1724
MONSTA X,2018-04-24,95406,2068353,3710
Twice,2018-04-24,906543,73962356,51292
EXO-CBX,2018-04-24,1056132,28249635,73035
Snuper,2018-04-23,47450,730055,3555
Hyolyn,2018-04-23,561702,21699882,20801
Lovelyz,2018-04-23,84800,8711394,5858
Stray Kids,2018-04-22,453531,10052771,18123
Solar,2018-04-22,32531,1127819,1115
BNF,2018-04-20,779,17670,173
Apink,2018-04-19,20585,386128,2262
IN2IT,2018-04-19,149210,2631663,8858
Zhoumi,2018-04-19,43243,558989,5671
Minseo,2018-04-19,16227,632415,405
HA:TFELT,2018-04-18,25998,593817,903
Hyoyeon,2018-04-18,217041,4464800,11261
Soya,2018-04-18,3052,609880,137
Highteen,2018-04-18,7570,161633,375
NCT 2018,2018-04-18,1638019,58878772,68506
VIXX,2018-04-17,387781,14278229,37861
JBJ,2018-04-17,298474,6963323,26044
Wheein,2018-04-17,281702,13889333,7858
H.U.B,2018-04-15,4623,86367,302
Momoland,2018-04-15,313249,27910376,17692
SF9,2018-04-13,14508,297119,741
Baby Boo,2018-04-12,682,23684,51
Super Junior,2018-04-12,2057484,104539928,202636
UNB,2018-04-11,119745,7319032,7596
Eric Nam,2018-04-11,350688,12575659,9346
Yoo Seonho,2018-04-11,43008,383728,2369
Hyeongseop X Euiwoong,2018-04-10,72159,1230667,2919
JooYoung,2018-04-10,6087,93723,298
EXO-CBX,2018-04-10,1438885,54928448,117440
Twice,2018-04-09,7290049,757264588,663616
Gunmin X Heedo (B.I.G),2018-04-09,18910,219031,6637
Eric Nam,2018-04-09,133020,2853353,5637
NOIR,2018-04-08,117607,1348565,4294
UNB,2018-04-07,200907,4566052,15134
Ten (NCT),2018-04-06,618900,11796517,35849
GreatGuys,2018-04-06,48909,480265,4321
Badkiz,2018-04-05,4409,86091,182
YDPP,2018-04-05,46730,822058,2510
WINNER,2018-04-04,1267430,76986031,76700
CLC,2018-04-03,71761,1264602,3749
The Boyz,2018-04-03,344476,18824599,13017
TVXQ!,2018-04-03,167211,6135703,7434
Oh My Girl Banhana,2018-04-02,155389,9886301,18249
EXID,2018-04-02,469535,18544702,26648
Pentagon,2018-04-02,596258,22019408,17010
NCT U,2018-04-01,772146,16498222,37627
Super Junior-D&E,2018-04-01,5019,108934,474
Gavy NJ,2018-04-01,4432,569523,194
Mamamoo,2018-03-30,79322,1623723,4564
Stray Kids,2018-03-30,857546,16608203,38769
LOONA,2018-03-29,361129,14857998,23963
Samuel,2018-03-28,360004,7217682,15572
TVXQ!,2018-03-28,469297,19649690,26912
5tion,2018-03-27,718,38019,33
Stray Kids,2018-03-26,1737579,66736860,117184
MONSTA X,2018-03-26,902699,41124927,69658
Shinhwa,2018-03-25,15119,371737,1285
Honey Popcorn,2018-03-21,116354,3868882,26299
SEVENTEEN,2018-03-21,360297,8980998,14305
SF9,2018-03-20,15758,400411,759
Wanna One,2018-03-19,1593278,76399237,99935
Tweety,2018-03-17,5028,90910,576
FTISLAND,2018-03-15,44736,1805323,2318
UP10TION,2018-03-15,104350,2068584,4705
Hoya,2018-03-14,46880,817761,2985
NCT 127,2018-03-13,1305052,58396087,66401
Golden Child,2018-03-13,74487,1840049,5327
Bubble X,2018-03-12,960,23363,61
GOT7,2018-03-12,1859837,96776241,288373
APRIL,2018-03-12,66443,4611189,4584
HEYNE,2018-03-11,10252,360642,1500
U-KISS,2018-03-08,4518,84066,642
Marmello,2018-03-08,7482,123319,360
Heize,2018-03-08,58819,6548105,1142
Heize,2018-03-08,157137,16328431,3142
Sojung (Ladies' Code),2018-03-07,15577,232725,934
Mamamoo,2018-03-07,1897577,142092986,56924
Mamamoo,2018-03-06,145030,4359971,7896
MXM,2018-03-06,46838,833838,2060
j-hope,2018-03-06,3959322,66403091,246394
Noel,2018-03-05,12489,2036799,257
Wanna One,2018-03-05,957836,43895250,78670
NCT DREAM,2018-03-04,1400992,48873137,72640
AZM,2018-03-02,13449,141785,1366
j-hope,2018-03-01,6837371,162206906,644306
Red Velvet,2018-02-28,378232,7192119,16268
Jeon Soyeon,2018-02-28,78224,1378529,1888
Sha Sha,2018-02-27,10810,260292,553
Waeb,2018-02-27,83,643,16
WJSN,2018-02-27,131148,8045963,12767
NCT U,2018-02-26,2134819,102387293,90796
SF9,2018-02-26,95988,2068110,6117
"Trax, Lip2Shot",2018-02-23,15994,229861,652
I.C.E,2018-02-23,10113,206363,943
CLC,2018-02-22,626962,38264070,24681
Weki Meki,2018-02-21,261566,9652522,12235
VROMANCE,2018-02-21,19141,353884,907
I.M (Monsta X),2018-02-20,330020,5490190,18155
BoA,2018-02-20,276902,14613949,9491
Yang Yoseop,2018-02-19,29520,444009,1768
NCT U,2018-02-18,3041827,187759351,170924
Boyfriend,2018-02-18,14889,251652,1659
Kino (Pentagon),2018-02-15,57768,1125576,2680
N.tic,2018-02-15,26923,387323,4275
Suzy,2018-02-14,294029,10333027,12038
Park Boram,2018-02-13,14046,3933558,706
Roy Kim,2018-02-12,188909,34743283,10263
Yang Yoseop,2018-02-12,32943,1332219,1575
Mighty Mouth,2018-02-11,241,20136,19
VAV,2018-02-10,132130,6849849,5233
Dynamic Duo,2018-02-07,1228,74323,70
PLT,2018-02-07,5101,54328,362
"Naeun, Jinsol (APRIL)",2018-02-07,8379,283822,454
Hong Jinyoung,2018-02-07,143364,13049499,6798
CoCoSoRi,2018-02-06,27573,474633,1870
Hyolyn,2018-02-06,43178,1247033,1832
MONSTA X,2018-02-06,110481,2442554,4805
DAY6,2018-02-05,118177,3145567,5710
SEVENTEEN,2018-02-05,1373217,73179279,79149
100%,2018-02-04,6304,185149,442
BLACKSIX,2018-02-03,3603,22130,354
Henry,2018-02-02,326103,5512170,12422
Davichi,2018-02-01,12018,682055,354
gugudan,2018-02-01,216165,10109413,15196
2000won,2018-02-01,352,10886,21
Super Junior-D&E,2018-01-31,10891,260930,869
BoA,2018-01-31,162588,6422762,5205
Soya,2018-01-31,7390,643869,366
Suzy,2018-01-29,193696,8625107,9579
Risso,2018-01-29,631,16702,43
LOONA,2018-01-29,195180,7920952,16083
DEAN,2018-01-29,1171623,86884328,30820
Golden Child,2018-01-29,79196,1665125,6670
Red Velvet,2018-01-29,4183022,397691876,317746
VAV,2018-01-28,144964,8392509,6612
Davichi,2018-01-25,245081,14501774,11877
iKON,2018-01-25,7666983,648849645,446619
fromis_9,2018-01-24,17836,378511,1006
Jeong Sewoon,2018-01-24,86078,2271185,2970
Rainz,2018-01-23,12007,423774,842
Target,2018-01-23,34384,508149,2258
Jonghyun,2018-01-23,506182,7830290,41400
Jonghyun,2018-01-22,1504645,25241227,162582
Suzy,2018-01-22,209304,10814479,9191
UP10TION,2018-01-20,24697,693922,1281
Sunmi,2018-01-18,948306,74329652,31011
Chungha,2018-01-17,895462,85513650,19067
JBJ,2018-01-17,612012,27366682,29189
Girlkind,2018-01-16,60042,1067959,5733
Stray Kids,2018-01-15,691765,20100246,22453
Various,2018-01-14,1389,68484,126
NCT U,2018-01-12,354978,9340095,11545
Weki Meki,2018-01-11,36034,749339,1365
Twice,2018-01-11,1883049,177488271,110394
MXM,2018-01-10,105244,2151005,3185
Jo Kwon,2018-01-10,26462,670595,1044
Oh My Girl,2018-01-09,247003,23465884,16570
MONSTA X,2018-01-09,302923,10906264,14256
Infinite,2018-01-08,399766,12551344,62811
Block B,2018-01-08,176628,6359598,7896
Jang Wooyoung,2018-01-08,47870,876968,2386
Stray Kids,2018-01-07,733362,17885339,30581
Voisper,2018-01-05,1644,26602,123
Hint,2018-01-05,5336,141700,338
Live High,2018-01-04,3829,121100,276
Mamamoo,2018-01-04,201043,4416235,13158
5tion,2018-01-04,159,6659,15
N.Flying,2018-01-03,219579,6872985,7613
Momoland,2018-01-03,4895877,621159125,369001
PLT,2018-01-02,10401,123123,705
TRCNG,2018-01-02,59854,1000205,2443
Drug Restaurant,2018-01-02,35143,925902,1751
LOONA,2017-12-28,961963,36847432,44535
Younha,2017-12-28,57099,3453812,3154
EXO,2017-12-27,1751587,54801409,162604
Super Junior-D&E,2017-12-26,25909,704750,2895
1NB,2017-12-25,2034,40681,209
BoA,2017-12-23,67366,2136380,2742
NU'EST W,2017-12-23,280338,20433372,9992
Twice,2017-12-22,906850,47018261,41431
Sha Sha,2017-12-17,2083,54824,158
NCT DREAM,2017-12-15,317161,4778819,9558
B.A.P,2017-12-14,284030,7471324,17885
Twice,2017-12-12,3515206,450964627,309710
Mighty Mouth,2017-12-07,316,20549,32
The Boyz,2017-12-06,266811,12035319,12346
KARD,2017-12-06,268990,5497654,11401
Snuper,2017-12-06,2889,90766,346
DAY6,2017-12-05,430790,16216066,16351
EXO,2017-12-05,1348658,31663047,108366
Hyuna,2017-12-05,836039,48253309,28896
ANYWAY,2017-12-04,2991,39745,236
1NB,2017-11-29,18207,386758,2059
fromis_9,2017-11-29,19735,424919,1229
LOONA,2017-11-28,247774,10245595,18462
BLK,2017-11-27,48472,521583,2437
Hey Men,2017-11-26,5251,85204,261
MAP6,2017-11-26,35278,557612,2436
MXM,2017-11-26,13733,194791,594
BTS,2017-11-24,20402197,1391148380,3088486
Pentagon,2017-11-23,49877,810379,1912
Pentagon,2017-11-22,320844,9529066,9768
Honeyst,2017-11-22,11518,223941,595
Blah Blah,2017-11-22,15556,411434,1662
KARD,2017-11-21,619534,19266972,20405
Epik High,2017-11-20,50905,2340491,1951
Heygirls,2017-11-19,3446,98527,158
Red Velvet,2017-11-17,3088606,241911848,146414
"Nell, Groovy Room",2017-11-17,13244,947682,476
Snuper,2017-11-16,6808,106294,670
Samuel,2017-11-16,383126,6968099,15027
Fly To The Sky,2017-11-15,8165,797399,479
Lovelyz,2017-11-14,70669,5078739,9465
Wanna One,2017-11-13,507805,13443477,43341
AshGray,2017-11-13,43,2215,10
VICTON,2017-11-09,122571,3085735,5394
Urban Zakapa,2017-11-08,68657,8510988,1617
gugudan,2017-11-08,104218,4269922,9202
SF9,2017-11-07,20285,386817,630
Block B,2017-11-07,594069,33166111,21252
MONSTA X,2017-11-07,1330744,56835760,68607
EXID,2017-11-07,940581,66042832,40592
Kim Sohee,2017-11-07,5887,267590,425
Super Junior,2017-11-06,1038302,59828843,126065
SEVENTEEN,2017-11-06,2099872,122873421,114741
Sonamoo,2017-11-06,65244,3229323,4154
Mamamoo,2017-11-06,42806,915294,2029
Jeon Soyeon,2017-11-05,463661,12219911,19694
DAY6,2017-11-05,247311,5088146,9246
Minah,2017-11-03,30797,768268,1163
Hyeongseop X Euiwoong,2017-11-02,74730,1546510,2737
ASTRO,2017-11-01,1282286,35707286,43022
Juniel,2017-10-31,22238,842084,623
LOONA Odd Eye Circle,2017-10-31,177346,5218921,9354
Voisper,2017-10-31,424,4457,42
Twice,2017-10-30,5386335,612277135,547777
GOT7,2017-10-30,451853,11529202,21887
Super Junior,2017-10-30,855315,31095247,129572
Gavy NJ,2017-10-29,5152,605143,167
Playback,2017-10-28,278278,11461016,11825
Apink,2017-10-27,60020,4776835,4194
IN2IT,2017-10-25,92130,1374596,5736
4Men,2017-10-24,58673,20284749,3133
Epik High,2017-10-23,190571,20432436,5931
Epik High,2017-10-23,72634,10782292,1461
Marmello,2017-10-22,8047,117383,410
A.C.E,2017-10-18,226932,4282444,18074
JBJ,2017-10-18,455707,16082294,25274
Taemin,2017-10-16,1381196,73410225,52247
BtoB,2017-10-16,299174,15497355,12808
Highlight,2017-10-16,213703,6623478,8074
SEVENTEEN,2017-10-15,401728,14848000,14413
DIA,2017-10-12,38551,1640868,2240
HA:TFELT,2017-10-12,14823,487841,562
UP10TION,2017-10-12,80009,2077003,2955
SF9,2017-10-12,803916,32245615,49125
Rainz,2017-10-12,32095,1261680,1251
Davichi,2017-10-11,14049,1558090,428
MASC,2017-10-11,10150,116020,745
Jang Wooyoung,2017-10-11,31820,589424,1478
Hi Cutie,2017-10-11,1432,39439,219
TRCNG,2017-10-10,80206,1442389,3621
GOT7,2017-10-10,1961483,100117945,241382
NU'EST W,2017-10-10,411704,13717950,43160
SEVENTEEN,2017-10-08,472976,16082668,16976
Stray Kids,2017-10-06,2741890,110430421,355546
Twice,2017-10-05,1032761,102855149,87872
SEVENTEEN,2017-10-01,611713,21259637,17700
U-KISS,2017-09-30,17612,561449,1546
A-seed,2017-09-28,720,68503,46
DAY6,2017-09-28,403822,11530507,14565
Bolbbalgan4,2017-09-28,2278435,126980862,40964
Bolbbalgan4,2017-09-28,91568,9895380,2696
Bolbbalgan4,2017-09-28,19366,1166862,266
Bolbbalgan4,2017-09-28,39689,2305433,552
B1A4,2017-09-25,199245,6184331,9247
Lay,2017-09-25,360703,4834263,27998
SEVENTEEN,2017-09-24,742133,29160270,23422
IU,2017-09-22,167261,15527586,4985
SECHSKIES,2017-09-21,30785,1043987,2510
SECHSKIES,2017-09-21,58949,7022423,4075
CNBLUE,2017-09-20,78204,3374223,2477
LOONA Odd Eye Circle,2017-09-20,311617,14205540,16664
APRIL,2017-09-20,46404,3953215,3723
BTS,2017-09-18,22999534,1560091184,6257143
GFRIEND,2017-09-13,357364,26017356,32328
D.I.P,2017-09-12,36357,394464,1397
ELRIS,2017-09-12,79293,2773118,4281
VIXX,2017-09-08,3884,80512,154
Pentagon,2017-09-06,103228,1671448,4475
MXM,2017-09-06,183312,4387628,7035
EXO,2017-09-05,2786141,101360519,380070
B.A.P,2017-09-05,267359,8712785,13352
DAY6,2017-09-05,687760,37362753,18991
The Singing Girls,2017-09-04,380,14688,26
BLACK6IX,2017-09-03,73346,1333653,3256
IM,2017-09-01,29430,453713,1814
A.De,2017-08-31,10581,150498,1541
IZ,2017-08-31,48963,1261972,1800
Good Day,2017-08-30,111133,3398100,11119
Hyuna,2017-08-29,428681,23868588,7973
Golden Child,2017-08-28,220474,5285973,18694
Flashe,2017-08-28,2296,74561,260
Hur Youngji,2017-08-25,12082,271010,681
GreatGuys,2017-08-25,33329,417359,1861
Heize,2017-08-25,31348,2729840,1029
Highteen,2017-08-25,974,28251,138
GreatGuys,2017-08-24,33329,417359,1861
Pristin,2017-08-23,316135,18157401,17513
VICTON,2017-08-23,91086,2079953,4902
MiSo,2017-08-23,63091,2067087,2434
Momoland,2017-08-22,295114,16812214,24015
DIA,2017-08-22,38410,2320221,3349
Sunmi,2017-08-21,2500329,177051126,42223
Red Velvet,2017-08-18,315947,8906999,15177
NCT DREAM,2017-08-17,895613,27272044,32234
SF9,2017-08-16,29979,936218,996
Taeyang,2017-08-16,408681,13604827,17799
Taeyang,2017-08-16,405030,12438217,20137
H.B.Y,2017-08-15,8131,130155,724
Sonamoo,2017-08-14,58800,2010448,3897
UP10TION,2017-08-10,6266,118069,319
Wanna One,2017-08-10,716630,39293955,23308
Boyfriend,2017-08-09,103561,1350182,11124
Jessica,2017-08-09,215987,6397196,14903
Weki Meki,2017-08-08,312035,12085521,21162
Juniel,2017-08-08,22131,787607,1426
DAY6,2017-08-07,391021,12633927,16286
Wanna One,2017-08-07,2628075,165574840,191881
BLANC7,2017-08-07,107632,1167463,18035
Girls' Generation,2017-08-04,1041467,55734415,118958
Girls' Generation,2017-08-04,564372,28013898,31501
Drug Restaurant,2017-08-04,10755,175393,519
